Event Name,Date,Month,Venue,Venue2,Level of Licence,WA,Entry Details,Licence Number,Longitude,Latitude
Liverpool Harriers & AC  Open Meeting,2-Apr,Apr,Wavertree Athletic Track,Liverpool,1,,https://www.race-results.co.uk/results/2023/,OUT 23/014,-2.9239375,53.3958125
Winchester & District AC Season Opener,2-Apr,Apr,University of Winchester,Winchester,1,,https://data.opentrack.run/en-gb/x/2023/GBR/wadacseasonopener23/,OUT 23/016,-1.3038125,51.05431249
Trafford Medal Meetings,2-Apr,Apr,Longford Park Athletics Stadium,Stretford,1,,https://www.traffordac.co.uk/php/index.php?script=home.php,OUT 23/022,-2.28935,53.44636
Havering AC Spring Warm Up Open,2-Apr,Apr,Hornchurch Stadium,Hornchurch,1,,,OUT 23/024,0.2383170571,51.5565905
Peterborough & Nene Valley AC Track Sunday ,2-Apr,Apr,Embankment Athletics Track,Peterborough,1,,https://meets.rosterathletics.com/public/competitions/details/about?id=13235,OUT 23/040,-0.233043,52.570904
Boston Anniversary Open Throws & Jumps,2-Apr,Apr,Princess Royal Sports Arena (DABSI),Boston,1,,,OUT 23/051,-0.069759,52.9771639
City of Portsmouth Spring Open Meeting,2-Apr,Apr,Mountbatten Centre,Portsmouth,1,,www.athleticevents.co.uk/aprilopen.html,OUT 23/072,-1.082616998,50.82464535
Charles Kear Memorial Open Graded Meeting,2-Apr,Apr,Tilsley Park Athletics Track,Abingdon,1,,https://meets.rosterathletics.com/public/competitions/details/about?id=12784,OUT 23/090,-1.2779715,51.6714842
Plymouth Spring Warm Up,2-Apr,Apr,Brickfields Athletic Track,Plymouth,1,,https://plymouthac.co.uk/event/city-of-plymouth-ac-spring-warm-up/,OUT 23/202,-4.1689375,50.3718125
Nuneaton Season Opener,2-Apr,Apr,The Pingles Stadium,Nuneaton,2,WA F,https://sites.google.com/thepinglesstadium.com/eapilotevent,OUT 23/241,-1.464162493,52.515688
Derby Athletics Development Association Midweek Opens,4-Apr,Apr,Moorways Athletics Stadium,Derby,1,,,OUT 23/109,-1.457212,52.891228
Watford Harriers Open Graded Meetings,5-Apr,Apr,Woodside Stadium,Watford,2,WA F,,OUT 23/092,-0.3945440682,51.69587595
Watford Open Field Events,5-Apr,Apr,Woodside Stadium,Watford,1,,,OUT 23/100,-0.3945440682,51.69587595
Isle of Man League,5-Apr,Apr,National Sports Centre (IOM),Douglas,1,,,OUT 23/224,-4.504653,54.152616
Day of the 5000m and 3000m PBs,8-Apr,Apr,Par Recreation Ground,Par,1,,,OUT 23/087,-4.7050945,50.3494152
Bill Whistlecroft Spring Open Yeovil inc. South West Sapphire League,8-Apr,Apr,Bill Whistlecroft Sports Stadium (Yeovil Athletics Arena),Yeovil,2,WA F,https://www.yeovilolympiads.com/yeovil-open-meetings/spring-open,OUT 23/091,-2.6318629,50.9420451
Be Fit Today Track Academy Outdoor Series 1,8-Apr,Apr,Lee Valley Athletics Centre - Outdoor,Lee Valley,1,,,OUT 23/244,-0.038032,51.629996
Colchester Harriers Throws Development Meet,9-Apr,Apr,Colchester Station Athletics Track,Colchester,1,,,OUT 23/118,0.89618749,51.8816875
Bill Whistlecroft Spring Open Yeovil inc. South West Sapphire League,10-Apr,Apr,Bill Whistlecroft Sports Stadium (Yeovil Athletics Arena),Yeovil,2,WA F,https://www.yeovilolympiads.com/yeovil-open-meetings/spring-open,OUT 23/091,-2.6318629,50.9420451
Norman Fowler Memorial Easter Monday Open Meeting,10-Apr,Apr,Tonbridge School Athletics Track,Tonbridge,1,,https://data.opentrack.run/en-gb/x/2023/GBR/taceom/ ,OUT 23/188,0.275167,51.200872
"Reading AC Club Championships - Field Events only eligible for Power of 10, no track",10-Apr,Apr,Palmer Park Athletics Track,Reading,1,,,OUT 23/278,-0.9696512,51.456659
Crawley AC Easter Monday Open,10-Apr,Apr,K2 Athletics Stadium,Crawley,1,,https://crawleyac.net/index.php/enter-opens-online/enter-online-easter-monday-10-04-23,OUT 23/283,-0.1918738,51.0973656
Telford Spring Warm-Up,12-Apr,Apr,Telford Athletics Stadium,Telford,1,,,OUT 23/220,-2.449812,52.7073978
Tommy Clay Development Meeting,14-Apr,Apr,Princess Royal Sports Arena (DABSI),Boston,1,,,OUT 23/052,-0.069759,52.9771639
Athletics Norfolk Spring Open Norwich,14-Apr,Apr,Sportspark at UEA,Norwich,1,,,OUT 23/207,1.2410625,52.6238125
Reading AC Development League,14-Apr,Apr,Palmer Park Athletic Track,Reading,1,,,OUT 23/305,-0.9696512,51.456659
"Crawley A.I.M. Charity 6, 12, and 24 Hour Race",15-Apr,Apr,K2 Athletics Stadium,Crawley,2,,www.crawley6and12hourraces.com,OUT 23/003,-0.1918738,51.0973656
Cambridge Harriers Young Athlete Trials,15-Apr,Apr,Sutcliffe Park Athletics Track,Eltham,1,,,OUT 23/064,0.0541253,51.4505687
Poole AC Open Meeting,15-Apr,Apr,Ashdown Leisure Centre,Poole,1,,,OUT 23/085,-1.9664201,50.7487411
Scottish National Athletics League ,15-Apr,Apr,Grangemouth Sports Stadium,Grangemouth,2,WA F,,OUT 23/097,-3.7081875,56.0053125
Liverpool Jumps & Throws,15-Apr,Apr,Wavertree Athletic Track,Liverpool,2,WA F,https://www.liverpoolthrowsjumps.co.uk/,OUT 23/105,-2.9239375,53.3958125
Douglas Bedford Memorial Open Meeting ,15-Apr,Apr,Thornes Park Athletics Stadium,Wakefield,1,,,OUT 23/130,-1.51464,53.67606
Norman Park International Challenge,15-Apr,Apr,Norman Park Athletic Track,Bromley,2,WA F,,OUT 23/144,0.0213125,51.3868125
Jack Kee Memorial Throws Meeting,15-Apr,Apr,Stantonbury Stadium,Milton Keynes,2,,http://www.mkac.org.uk/2023/02/saturday-april-15-jack-kee-memorial-throws-meeting/,OUT 23/153,-0.769329,52.058685
Warrington AC Spring Open Meeting,15-Apr,Apr,Victoria Park Arena,Warrington,1,,https://www.trybooking.co.uk/CCGW,OUT 23/160,-2.573880055,53.38632335
Rugby Easter Open,15-Apr,Apr,The Queen's Diamond Julbilee Centre,Rugby,1,,https://entry4sports.co.uk/#/,OUT 23/161,-1.254627,52.365789
Yate & District Throws & Jumps Club Open inc South West Sapphire League,15-Apr,Apr,Yate Outdoor Sports Complex,Yate,1,,,OUT 23/199,-2.4243125,51.55581249
Clive Marsh Spring Warm Up Meeting,15-Apr,Apr,Par Recreation Ground,Par,1,,https://www.newquayandpar.co.uk/,OUT 23/201,-4.7050945,50.3494152
Kettering Town Harriers Field Events Only - Open Meeting,15-Apr,Apr,Kettering Athletic Track,Kettering,1,,https://entry4sports.co.uk/#/,OUT 23/232,-0.728004,52.3994233
LICC London Inter-City Challenge,15-Apr,Apr,Stonex Stadium,Hendon,2,,https://entry4sports.co.uk/#/,OUT 23/249,-0.2236569504,51.60371995
Isle of Wight Spring Throws,15-Apr,Apr,Fairway Athletics Centre (Sandown),Sandown,1,,,OUT 23/273,-1.1655271,50.6588065
Coventry Spring Meet,15-Apr,Apr,Coventry Athletic Track - University of Warwick,Coventry,2,,,OUT 23/296,-1.510477,52.4081812
Yate & District Sprints & Hurdles C23  inc. South West Sapphire League,16-Apr,Apr,Yate Outdoor Sports Complex,Yate,1,,https://gratimhow.github.io/SandHInfoPage.html,OUT 23/013,-2.4243125,51.55581249
Wessex Young Athletes' League,16-Apr,Apr,Charlton Centre Athletics Track,Andover,1,,https://www.wessexleaguetandf.co.uk/,OUT 23/038,-1.5098125,51.2201875
Wessex Young Athletes' League,16-Apr,Apr,Oxford Horspath Athletics Stadium,Horspath,1,,https://www.wessexleaguetandf.co.uk/,OUT 23/038,-1.1871875,51.7374375
Peterborough & Nene Valley AC Jumps Sunday ,16-Apr,Apr,Embankment Athletics Track,Peterborough,1,,https://meets.rosterathletics.com/public/competitions/details/about?id=13201,OUT 23/042,-0.233043,52.570904
Kieran Maxwell Memorial Open,16-Apr,Apr,Middlesbrough Sports Village,Middlesbrough,1,,https://www.kieranmaxwellopen.co.uk/,OUT 23/049,-1.210556246,54.54434965
Watford Harriers Minors Meetings,16-Apr,Apr,Woodside Stadium,Watford,1,,https://watfordharriers.org.uk/,OUT 23/062,-0.3945440682,51.69587595
Herts Phoenix AC Pre-Season Meeting,16-Apr,Apr,Stuart Storey Athletic Track - Wodson Park,Ware,1,,,OUT 23/167,-0.0333125,51.8239375
Windsor Slough Eton & Hounslow Spring Open Meeting,16-Apr,Apr,Thames Valley Athletics Centre (Eton),Eton,2,WA F,https://wseh.co.uk/,OUT 23/173,-0.5959682922,51.49453235
Walton Winter Throws,16-Apr,Apr,Xcel Sports Hub - Waterside Drive,Walton,1,,,OUT 23/194,-0.411091,51.398763
Harrow LICC Open Track & Jumps,16-Apr,Apr,Bannister Sports Centre,Harrow,1,, https://data.opentrack.run/en-gb/x/2023/GBR/harr16042023/,OUT 23/212,-0.3521277401,51.61165605
Southampton Throws Invitation,16-Apr,Apr,University of Winchester,Winchester,1,,,OUT 23/238,-1.3038125,51.05431249
Great West Open - Ken Trickey Memorial - inc. South West Sapphire League,16-Apr,Apr,Exeter Arena,Exeter,1,,,OUT 23/264,-3.491320974,50.73765245
Huntingdonshire AC Club Championships,16-Apr,Apr,"One Leisure Outdoor Centre, St. Ives",St. Ives,1,,,OUT 23/272,-0.092947,52.336512
Coventry Spring Meet,16-Apr,Apr,Coventry Athletic Track - University of Warwick,Coventry,2,,,OUT 23/296,-1.510477,52.4081812
Invicta East Kent AC Open Meeting,17-Apr,Apr,Canterbury High School,Canterbury,1,,https://invictaeastkentac.org.uk/index.php,OUT 23/312,1.0634828,51.2793854
Peterborough & Nene Valley  Barrier Night,18-Apr,Apr,Embankment Athletics Track,Peterborough,1,,https://meets.rosterathletics.com/public/competitions/details/about?id=13202,OUT 23/218,-0.233043,52.570904
Kettering Town Harriers Evening Open,18-Apr,Apr,Kettering Athletics Track,Kettering,1,,https://entry4sports.co.uk/#/,OUT 23/318,-0.717797,52.396803
Watford Harriers Open Graded Meetings,19-Apr,Apr,Woodside Stadium,Watford,2,WA F,,OUT 23/092,-0.3945440682,51.69587595
Watford Open Field Events,19-Apr,Apr,Woodside Stadium,Watford,1,,,OUT 23/100,-0.3945440682,51.69587595
Midland Veterans League - North,19-Apr,Apr,Telford Athletics Stadium,Telford,1,,https://mvtfl.wordpress.com/,OUT 23/136,-2.449812,52.7073978
Kingston AC & Polytechnic Harriers Open Meeting,19-Apr,Apr,Weir Archer Athletics Track (Kingsmeadow),Kingston,1,,https://data.opentrack.run/en-gb/x/2023/GBR/kingston-open-1/,OUT 23/279,-0.2836903,51.4052927
Isle of Man Athletics Open Meeting,19-Apr,Apr,National Sports Complex,Douglas,1,,,OUT 23/333,-4.504653,54.152616
BMC Regional Race,20-Apr,Apr,Beckett Park Athletics Centre,Leeds (B),1,,https://www.britishmilersclub.com/,OUT 23/192,-1.5951875,53.82806249
Aztec Track & Field Series,20-Apr,Apr,Footes Lane (Garenne Stand),St. Peter Port,1,,,OUT 23/230,-2.5639734,49.4645552
Huntingdonshire AC Club Championships,20-Apr,Apr,"One Leisure Outdoor Centre, St. Ives",St. Ives,1,,,OUT 23/272,-0.092947,52.336512
Tommy Clay Development Meeting,21-Apr,Apr,Princess Royal Sports Arena (DABSI),Boston,1,,,OUT 23/052,-0.069759,52.9771639
Athletics Norfolk Spring Open,21-Apr,Apr,Lynnsport Athletics Track,King's Lynn,1,,,OUT 23/183,0.3954774,52.7538673
Sussex Under 15 League - No Pole Vault,21-Apr,Apr,Withdean Stadium,Brighton,1,,,OUT 23/288,-0.1593261361,50.85215175
Centurion Track 100,22-Apr,Apr,Bedford International Athletics Stadium,Bedford,2,,https://centurionrunning.com/races/centurion-track-100-2023,OUT 23/001,-0.4418125,52.1336875
Leigh Harriers Spring Throws Open Meeting,22-Apr,Apr,Leigh Sports Village,Leigh,2,WA F,https://www.leighharriers.org/,OUT 23/025,-2.5305682,53.4883788
Moulton Easter Invitational,22-Apr,Apr,Moulton College Athletics Track,Moulton,1,,https://entry4sports.co.uk/#/,OUT 23/037,-0.8684375,52.29981249
Afternoon of 5000s,22-Apr,Apr,Mary Peters Stadium,Belfast,2,WA F,,OUT 23/088,-5.967179,54.548531
Milton Keynes Open Meeting,22-Apr,Apr,Stantonbury Stadium,Milton Keynes,1,,http://www.mkac.org.uk/,OUT 23/132,-0.769329,52.058685
Woodford Green with Essex Ladies Pre-Season Open Graded Meeting,22-Apr,Apr,Ashton Playing Fields,Woodford,1,,,OUT 23/141,0.05032673229,51.6073283
Midland Counties League Division 4SE,22-Apr,Apr,North Oxfordshire Academy,Banbury,1,,https://midland-athletics.co.uk/disciplines/league/,OUT 23/172,-1.368062378,52.0729955
Loughborough Open inc. BUCS 10000m,22-Apr,Apr,Paula Radcliffe Athletics Stadium,Loughborough,2,WA F,,OUT 23/175,-1.230372,52.769183
Kingston upon Hull Spring Open,22-Apr,Apr,Costello Stadium,Hull,1,,https://meets.rosterathletics.com/public/competitions/details/about?id=12780,OUT 23/191,-0.4107359,53.7372742
Wycombe Phoenix Harriers' Invitational & Club Championships 2023 - inc. Bucks & Oxon U15 & U17 3000m Championships,22-Apr,Apr,Stoke Mandeville Stadium,Stoke Mandeville,1,,,OUT 23/216,-0.784342,51.787885
Midland Counties League Division 4NE,22-Apr,Apr,Shobnall Athletics Track,Burton,1,,https://midland-athletics.co.uk/disciplines/league/,OUT 23/234,-0.56667,53.26667
Isle of Wight Spring Throws,22-Apr,Apr,Fairway Athletics Centre (Sandown),Sandown,1,,,OUT 23/273,-1.1655271,50.6588065
Midland Counties League Division 2,22-Apr,Apr,Tamworth Athletics Track,Tamworth,1,,https://midland-athletics.co.uk/disciplines/league/,OUT 23/285,-1.6671875,52.6188125
Cambridge University AC Open,22-Apr,Apr,Cambridge University Athletics Track,Cambridge,1,,,OUT 23/314,0.098906,52.206767
Cumbria League No hammer/pole vault,22-Apr,Apr,Cumbria Sports Academy,Whitehaven,1,,,OUT 23/337,-3.5569948,54.5332739
Mid Lancs Track & Field League,22-Apr,Apr,Witton Park Track,Blackburn,1,,http://www.midlancs.org.uk/,OUT 23/352,-2.5148125,53.7391875
Wessex Young Athletes' League,23-Apr,Apr,Tilsley Park Athletics Track,Abingdon,1,,https://www.wessexleaguetandf.co.uk/,OUT 23/038,-1.2779715,51.6714842
Wessex Young Athletes' League,23-Apr,Apr,Kings Park Athletic Track,Bournemouth,1,,https://www.wessexleaguetandf.co.uk/,OUT 23/038,-1.8339375,50.7334375
North East Youth Development League - Division 1,23-Apr,Apr,Shildon - Stadium 2000,Shildon,1,,http://www.neydl.website,OUT 23/048,-1.648251,54.632837
North East Youth Development League - Division 2,23-Apr,Apr,Monkton Stadium,Jarrow,1,,http://www.neydl.website,OUT 23/048,-1.497931582,54.9656323
Eastern Young Athletes League,23-Apr,Apr,Sportspark at UEA,Norwich,1,,http://eyal.org.uk/,OUT 23/061,1.2410625,52.6238125
Eastern Young Athletes League,23-Apr,Apr,Embankment Athletics Track,Peterborough,1,,http://eyal.org.uk/,OUT 23/061,-0.233043,52.570904
Eastern Young Athletes League,23-Apr,Apr,Blackshots Athletic Stadium (Thurrock),Grays,1,,http://eyal.org.uk/,OUT 23/061,0.3470567,51.4935653
Eastern Young Athletes League,23-Apr,Apr,Stuart Storey Athletic Track - Wodson Park,Ware,1,,http://eyal.org.uk/,OUT 23/061,-0.0333125,51.8239375
West Yorkshire League,23-Apr,Apr,Princess Mary Athletic Stadium,Cleckheaton,1,,www.wakefield -harriers.co.uk/wytfl/wyl23index.htm,OUT 23/078,-1.7140939,53.7264346
St George's Day Open Graded Competition,23-Apr,Apr,Blackbridge Athletics Track,Gloucester,1,,https://www.gloucesterac.co.uk/,OUT 23/106,-2.235105,51.853862
Medway & Maidstone AC Summer Open Meeting,23-Apr,Apr,Medway Park,Gillingham,1,,www.entry4sports.co.uk,OUT 23/131,0.5410061101,51.3905889
Notts Mini League,23-Apr,Apr,Berry Hill Park Athletic Track,Mansfield,1,,,OUT 23/162,-1.1771875,53.1288125
RJT & NMAC Series Sheffield 2023,23-Apr,Apr,Shu City Athletics Stadium (Woodburn Road),Sheffield,1,,https://www.race-results.co.uk/results/2023/,OUT 23/190,-1.4324375,53.3894375
BMC Regional Meeting,23-Apr,Apr,Medway Park,Gillingham,1,,https://www.britishmilersclub.com/,OUT 23/196,0.5410061101,51.3905889
Devon Open 1,23-Apr,Apr,Exeter Arena,Exeter,1,,https://data.opentrack.run/en-gb/x/2023/GBR/devonopen23m1/,OUT 23/200,-3.491320974,50.73765245
Alder Valley League,23-Apr,Apr,Palmer Park Athletics Track,Reading,1,,,OUT 23/239,-0.9696512,51.456659
York Invitation,23-Apr,Apr,University of York,York,1,,,OUT 23/265,-1.031459294,53.9453903
Huntingdonshire AC Club Championships,23-Apr,Apr,"One Leisure Outdoor Centre, St. Ives",St. Ives,1,,,OUT 23/272,-0.092947,52.336512
Triangular League,23-Apr,Apr,Aldersley Leisure Village (Wolverhampton),Wolverhampton,1,,,OUT 23/282,-2.1491911,52.6065163
Birchfield Harriers Young Athletes Open Meeting,23-Apr,Apr,Alexander Stadium - Main Stadium,Birmingham,2,WA F,,OUT 23/284,-1.906396,52.530985
Cheshire League,23-Apr,Apr,Cleavley Athletics Track,Salford,1,,http://cheshireaa.com/results/TFL/cheshire_tf_league.aspx,OUT 23/293,-2.371778913,53.4874406
"Cheshire League - No hammer, discus, pole vault",23-Apr,Apr,Richmond Street Athletics Stadium,Ashton-under-Lyne,1,,http://cheshireaa.com/results/TFL/cheshire_tf_league.aspx,OUT 23/293,-2.1144375,53.4938125
Cheshire League - no hammer or discus,23-Apr,Apr,Ellesmere Port Sports Village,Ellesmere Port,1,,http://cheshireaa.com/results/TFL/cheshire_tf_league.aspx,OUT 23/293,-2.894311448,53.26567295
